import_key,example_import_key,locale,translation,status
et-v2-ex-033-zh,v2-ex-033,zh,这个包装我的笔记本电脑有点小。,draft
et-v2-ex-033-ja,v2-ex-033,ja,このかばんは私のノートパソコンを入れるには少し小さいです。,draft
et-v2-ex-034-en,v2-ex-034,en,The room is so cold that it's hard to study.,draft
et-v2-ex-034-zh,v2-ex-034,zh,房间太冷了，学习起来很困难。,draft
et-v2-ex-034-ja,v2-ex-034,ja,部屋がとても寒くて、勉強するのが大変です。,draft
et-v2-ex-035-en,v2-ex-035,en,This train is much faster than the bus.,draft
et-v2-ex-035-zh,v2-ex-035,zh,这列火车比公交车快得多。,draft
et-v2-ex-035-ja,v2-ex-035,ja,この列車はバスよりずっと速いです。,draft
et-v2-ex-036-en,v2-ex-036,en,This problem is harder than I expected.,draft
et-v2-ex-036-zh,v2-ex-036,zh,这个问题比我想象的难。,draft
et-v2-ex-036-ja,v2-ex-036,ja,この問題は思ったより難しいです。,draft
et-v2-ex-037-en,v2-ex-037,en,"If that's really the case, I think we'll have to change the plan.",draft
et-v2-ex-037-zh,v2-ex-037,zh,如果情况真是那样，恐怕得改变计划了。,draft
et-v2-ex-037-ja,v2-ex-037,ja,本当にそういう状況なら、計画を変えたほうがよさそうです。,draft
et-v2-ex-038-en,v2-ex-038,en,"When winter comes, the mountain turns white with snow.",draft
et-v2-ex-038-zh,v2-ex-038,zh,冬天一到，山就被雪染白了。,draft
et-v2-ex-038-ja,v2-ex-038,ja,冬になると、山が雪で真っ白になります。,draft
et-v2-ex-039-en,v2-ex-039,en,This restaurant is famous for its Korean food.,draft
et-v2-ex-039-zh,v2-ex-039,zh,这家餐厅以韩餐出名。,draft
et-v2-ex-039-ja,v2-ex-039,ja,この店は韓国料理で有名です。,draft
et-v2-ex-040-en,v2-ex-040,en,It's better not to eat food that has been left in the refrigerator for too long.,draft
et-v2-ex-040-zh,v2-ex-040,zh,冰箱里放太久的食物最好不要吃。,draft
et-v2-ex-040-ja,v2-ex-040,ja,冷蔵庫に長く置いておいた食べ物は、食べないほうがいいです。,draft
et-v2-ex-041-en,v2-ex-041,en,Dining culture is a little different in every country.,draft
et-v2-ex-041-zh,v2-ex-041,zh,每个国家的饮食文化都有些不同。,draft
et-v2-ex-041-ja,v2-ex-041,ja,国によって食文化は少しずつ違います。,draft
et-v2-ex-042-en,v2-ex-042,en,You can't know everything in a person's heart just from appearances.,draft
et-v2-ex-042-zh,v2-ex-042,zh,只看外表，无法完全了解一个人的内心。,draft
et-v2-ex-042-ja,v2-ex-042,ja,外から見ただけでは、人の心をすべて知ることはできません。,draft
et-v2-ex-043-en,v2-ex-043,en,I felt much more at ease once the exam was over.,draft
et-v2-ex-043-zh,v2-ex-043,zh,考试结束后，我一下子轻松了许多。,draft
et-v2-ex-043-ja,v2-ex-043,ja,試験が終わって、気持ちがずいぶん楽になりました。,draft
et-v2-ex-044-en,v2-ex-044,en,"This time, I'm determined to see it through to the end.",draft
et-v2-ex-044-zh,v2-ex-044,zh,这次我打算坚持做到最后。,draft
et-v2-ex-044-ja,v2-ex-044,ja,今回は最後までやり抜くつもりです。,draft
et-v2-ex-045-en,v2-ex-045,en,I like spicy food.,draft
et-v2-ex-045-zh,v2-ex-045,zh,我喜欢吃辣的食物。,draft
et-v2-ex-045-ja,v2-ex-045,ja,私は辛い食べ物が好きです。,draft
et-v2-ex-046-en,v2-ex-046,en,I like taking photos on weekends.,draft
et-v2-ex-046-zh,v2-ex-046,zh,我喜欢周末拍照。,draft
et-v2-ex-046-ja,v2-ex-046,ja,私は週末に写真を撮るのが好きです。,draft
et-v2-ex-047-en,v2-ex-047,en,The students in our class really like their homeroom teacher.,draft
et-v2-ex-047-zh,v2-ex-047,zh,我们班的学生都很喜欢班主任。,draft
et-v2-ex-047-ja,v2-ex-047,ja,私たちのクラスの生徒たちは、担任の先生のことがとても好きです。,draft
et-v2-ex-048-en,v2-ex-048,en,That person turned pale after hearing the frightening news.,draft
et-v2-ex-048-zh,v2-ex-048,zh,那个人听到可怕的消息后，脸色变得苍白。,draft
et-v2-ex-048-ja,v2-ex-048,ja,その人は恐ろしい知らせを聞いて、顔が青ざめました。,draft
